sequence,labels
"Use computer-aided design (CAD) systems to assist in the creation, modification, analysis, or optimisation of a design.",Digital Skills
Use computer-aided design and drafting software to make detailed drawings and blueprints of designs.,Digital Skills
Use computer-aided engineering software to conduct stress analyses on engineering designs.,Digital Skills
"Use computer-aided manufacturing (CAM) programmes to control machinery and machine tools in the creation, modification, analysis, or optimisation as part of the manufacturing processes of workpieces.",Technological Skills
Use equipment to test performance and operation of machinery.,Technological Skills
"Use non-computerised draughting techniques to make detailed drawings of designs by hand with specialised tools such as pencils, rulers and templates.",Others Skills
"Use soldering equipment, such as a soldering gun, a soldering torch or a gas-powered iron, to melt and join together pieces of metal or steel.",Technological Skills
Use specialised tools to convert 3D wire frame models into 2D images with 3D photorealistic effects or non-photorealistic rendering on a computer.,Digital Skills
"Use various techniques to ensure the product quality is respecting the quality standards and specifications. Oversee defects, packaging and sendbacks of products to different production departments.",Social Skills
"Utilise computer equipment or digital devices to facilitate quality control, data management, and communication. Follow instructions given by a computer programme, create computer files or documents.",Technological Skills
Work closely with the relevant quality assurance or grading party involved.,Social Skills
"Write records of the repairs and maintenance interventions undertaken, of parts and materials used, and other repair facts.",Others Skills
"Write the results and conclusions of the inspection in a clear and intelligible way. Log the inspection's processes such as contact, outcome, and steps taken.",Thinking Skills
Ability to interact effectively with other people.,Social Skills
Ability to work confidently within a metal manufacturing group with each doing a part but all subordinating personal prominence to the efficiency of the whole.,Others Skills
"Accept payments such as cash, credit cards and debit cards. Handle reimbursement in case of returns or administer vouchers and marketing instruments such as bonus cards or membership cards. Pay attention to safety and the protection of personal data.",Others Skills
"Accept, schedule and cancel appointments.",Others Skills
Adapt service approach when circumstances change.,Personal Skills
Add a protective layer of coating to the finished printed circuit board.,Others Skills
Adhere to standards of hygiene and safety established by respective authorities.,Social Skills
"Adjust lens apertures, shutter speeds and camera focus.",Technological Skills
Adjust optical axis and mechanical axis of lenses so that they would coincident. This process is called centring.,Technological Skills
Adjust voltage in electrical equipment.,Technological Skills
"Advise on all issues related to machinery such as preventive maintenance operations, repair work and the acquisition of new equipment, to help the management team reach its goals and to ensure compliance with the legislation and the customer's requirements.",Technological Skills
Align and lay out components in order to put them together correctly according to blueprints and technical plans.,Technological Skills
Analyse and understand detailed electronic design specifications.,Thinking Skills
Analyse and understand given technical information for electronic repair work.,Thinking Skills
Apply Internet Protocol Configuration (ipconfig) to gather data on Transmission Control Protocol/Internet Protocol (TCP/IP) configuration values in order to identify devices and their IP addresses.,Technological Skills
"Apply a layer of protective solutions such as permethrine to protect the product from damage such as corrosion, fire or parasites, using a spray gun or paintbrush.",Others Skills
Apply and supervise measures and regulations concerning security and safety in order to maintain a safe environment in the workplace.,Social Skills
"Apply and work with a variety of techniques in the process of soldering, such as soft soldering, silver soldering, induction soldering, resistance soldering, pipe soldering, mechanical and aluminium soldering.",Others Skills
"Apply and work with a variety of techniques in the process of welding metal workpieces under pressure exercised by electrodes, such as projection welding, radius style electrodes spot welding and eccentric electrodes spot welding.",Others Skills
"Apply coating to optical lenses, such as reflective coating to mirrors, anti-reflective coatings to camera lenses, or tinted coatings to sunglasses.",Others Skills
Apply correct and up-to-date assembly methods in the production development process.,Thinking Skills
Apply ergonomy principles in the organisation of the workplace while manually handling equipment and materials.,Thinking Skills
"Apply migration and conversion methods for existing data, in order to transfer or convert data between formats, storage or computer systems.",Digital Skills
"Apply technologies for re-creation or recording of sounds, such as speaking, sound of instruments in electrical or mechanical form.",Technological Skills
"Apply the information, such as periodic maintenance charts, step by step repair instructions, troubleshooting information and overhaul procedures to perform routine maintenance and repairs.",Digital Skills
Apply the principles and rules that govern the activities and processes of an organisation.,Social Skills
Assemble and maintain electronic components and electronic circuits.,Technological Skills
Assemble machines according to instructions and specifications.,Technological Skills
"Assemble parts together such as the body, strings, buttons, keys, and others to create the final musical instrument.",Others Skills
"Assemble switches, electrical controls, circuit boards and other electrical components by using hand and soldering equipment.",Technological Skills
"Assemble the necessary hardware components, such as the motherboard, Central Processing Unit (CPU), hard drive, disk drive, power supply unit, RAM, PCI card, mouse, keyboard, cameras and other necessary components to build the computer device. Attach the components manually using screwdrivers or use assembly machines and install the wiring.",Technological Skills
"Assist with the integration of new systems, products, methods, and components in the production line. Ensure that production workers are properly trained and follow the new requirements.",Technological Skills
"Attach electronic components to the printed circuit board through applying soldering techniques. Electronic components are placed in holes in through-hole assembly (THT), or are placed on the surface of PCB in surface-mount assembly (SMT).",Technological Skills
"Attach new strings, fix frames or replace broken parts of musical instruments.",Others Skills
"Avoiding possible risks and unwanted outcomes by watching carefully over all parts of a machine, device or vehicle and executing processes of production, maintenance or repair with great care.",Thinking Skills
Be able to drive vehicles; have the approapriate type of driving license according to the type of motor vehicle used.,Others Skills
"Build a lasting and meaningful relationship with suppliers and service providers in order to establish a positive, profitable and enduring collaboration, co-operation and contract negotiation.",Social Skills
"Buy and sell musical instruments, or serve as an intermediate between potential buyers and sellers.",Others Skills
Calibrate and maintain electronic systems; execute preventive equipment maintenance tasks.,Technological Skills
Carry out assessment and recruitment of personnel for the production.,Personal Skills
"Chairing a meeting for a group of people, in order to formulate plans and decisions that are carried out by the company.",Social Skills
"Change the scope of an ICT system by adding or reallocating additional ICT system components, such as network components, servers or storage to meet capacity or volume demands.",Technological Skills
Check and maintain musical instruments.,Others Skills
"Check and repair electronic equipment. Detect malfunction, locate faults and take measures to prevent damage.",Technological Skills
"Check electrical supplies for damage, moisture, loss or other problems.",Others Skills
"Check electronic materials for damage, moisture, loss or other problems before using the material.",Others Skills
Check overall product quality prior to shipment.,Others Skills
Check products for quality on the production line and remove defective items before and after packaging.,Others Skills
Check the printed circuit board for solder defects and make adjustments as required.,Others Skills
Clean components before fixing them to other compounds or units of components during the assembly process.,Others Skills
Clean optical components after every cycle in the manufacturing process.,Others Skills
"Clean semiconductor wafers using appropriate cleaning equipment, such as automated wafer cleaners, blow-off wands, and chemical baths.",Others Skills
"Clean the printed circuit boards and components as necessary before, during, and after the assembly process.",Others Skills
Collect and transport solder dross in special containers for hazardous waste.,Others Skills
"Collect data and statistics to test and evaluate in order to generate assertions and pattern predictions, with the aim of discovering useful information in a decision-making process.",Digital Skills
Communicate and give feedback to senior colleagues in the event of problems or non-conformities.,Social Skills
"Communicate testing information such as testing schedules, samples testing statistics and test results, to the relevant departments.",Social Skills
"Communicate with construction inspection, e.g. by submitting schemes and plans, to make sure all construction regulations, laws and codes are dealt with correctly.",Social Skills
"Comply with regulations banning heavy metals in solder, flame retardants in plastics, and phthalate plasticisers in plastics and wiring harness insulations, under EU RoHS/WEEE Directives and China RoHS legislation.",Social Skills
Compose routine reports; identify appropriate forms or documents to record data from manual inspections and/or electronic systems. Write clear observations as required. A written report is usually a summary of readings from the routine performance of the reticulation system.,Others Skills
Compose technical customer reports understandable for people without technical background.,Personal Skills
Compose warranty forms for audio and video devices sold to customers.,Others Skills
Compose work-related reports that support effective relationship management and a high standard of documentation and record keeping. Write and present results and conclusions in a clear and intelligible way so they are comprehensible to a non-expert audience.,Others Skills
Conduct a comprehensive and systematic research of information and publications on a specific topic. Present a comparative evaluative literature summary.,Thinking Skills
"Conduct in-circuit test (ICT) to assess whether the printed circuit boards (PCB) were correctly manufactured. The ICT tests for shorts, resistance, and capacitance, and can be performed with a ""bed of nails"" tester or with a fixtureless in-circuit test (FICT).",Technological Skills
"Conduct inspections and tests of services, processes, or products to evaluate quality.",Others Skills
Conduct routine maintenance on equipment. Recognise and identify minor defects in equipment and make repairs if appropriate.,Others Skills
"Conduct surveys to determine the location and features of natural and man-made structures, on surface level as well as underground and underwater. Operate electronic distance-measuring equipment and digital measuring instruments.",Others Skills
"Connect electronic devices, such as TVs, audio and video equipment and cameras, to the electricity network and perform electrical bonding to avoid dangerous potential differences. Test the installation for proper functioning.",Technological Skills
"Connect office equipment, such as modems, scanners and printers, to the electricity network and perform electrical bonding to avoid dangerous potential differences. Test the installation for proper functioning. Monitor settings and prepare the appliance for usage.",Technological Skills
Construct prototypes from rough plans and sketches.,Technological Skills
Convert market requirements into product design and development.,Thinking Skills
Coordinate the activities of several construction workers or crews to make sure they do not interfere with each other and to ensure that the works are done in a timely manner. Keep up to date on the progress of the teams and update the schedule if called for.,Social Skills
Correct and adjust the reliability of an electromechanical system by measuring output and comparing results with the data of a reference device or a set of standardised results. This is done in regular intervals which are set by the manufacturer.,Thinking Skills
Create architectural sketches for the design and detail specifications of interiors and exteriors to scale.,Personal Skills
"Create designs on musical instruments by using methods such as embossing, piercing, painting, woodworking, weaving, and other methods.",Others Skills
Create maps using data gathered during surveying and measurement activities and specialised software which outline a region's constructions' and buildings' boundaries.,Digital Skills
"Create software or device components which enable interaction between humans and systems or machines, using appropriate techniques, languages and tools so as to streamline interaction while using the system or machine.",Programming Skills
"Create the drawings that identify the different components and materials, and that provide instructions as to how they should be assembled.",Technological Skills
"Cut and weld pieces of metal in order to repair broken metal parts, or to assemble new parts.",Others Skills
"Define and describe the criteria by which data quality is measured for manufacturing purposes, such as international standards and manufacturing regulations.",Thinking Skills
Define and make a list of the required resources and equipment based on the technical needs of the production.,Thinking Skills
"Define quality assurance targets and procedures and see to their maintenance and continued improvement by reviewing targets, protocols, supplies, processes, equipment and technologies for quality standards.",Thinking Skills
"Define, in collaboration with managers and quality experts, a set of quality standards to ensure compliance with regulations and help achieve customers' requirements.",Thinking Skills
"Design and create parts such as keys, reeds, bows, and others for musical instruments.",Others Skills
"Design and develop different types of sensors according to specifications, such as vibration sensors, heat sensors, optical sensors, humidity sensors, and electric current sensors.",Technological Skills
"Design and develop microelectromechanical systems (MEMS), such as microsensing devices. Make a model and a simulation using technical design software to assess the viability of the product and examine the physical parameters to ensure a successful production process.",Technological Skills
"Design and develop microelectronic systems, products, and components according to specifications, such as microchips.",Technological Skills
Design and develop new computer hardware systems and components. Draft blueprints and assembly drawings specifying how the computer equipment should be build.,Technological Skills
Design and develop prototypes of optical products and components using technical drawing software.,Technological Skills
"Design and draft integrated circuits (IC) or semiconductors, such as microchips, used in electronic products. Integrate all necessary components, such as diodes, transistors, and resistors. Pay attention to the design of input signals, output signals, and power availability.",Technological Skills
Design the appropriate firmware to a specific electronic system.,Programming Skills
"Detect malfunctions in train control systems such as radios, radar systems, and electronic and electromagnetic components.",Technological Skills
Detect surface cracks by covering the surface of objects with fluorescent dyes and applying developer.,Technological Skills
"Determine potential suppliers for further negotiation. Take into consideration aspects such as product quality, sustainability, local sourcing, seasonality and coverage of the area. Evaluate the likelihood of obtaining beneficial contracts and agreements with them.",Others Skills
"Determine restoration needs and requirements and plan the activities. Consider the desired results, the level of intervention required, evaluation of alternatives, constraints on actions, stakeholder demands, possible risks and future options.",Thinking Skills
Determine the amount and the kind of materials necessary to build certain machines or equipment.,Thinking Skills
"Develop a conceptual interior design fitting the global mood the room(s) must convey, according to the quality standards agreed on. Adhere to the order of a client for a domestic area or to the concept of an artistic production, such as a movie or a theatre play.",Thinking Skills
Develop and design a musical instrument according to customer specification.,Thinking Skills
"Develop testing protocols to enable a variety of analyses of electronic systems, products, and components.",Thinking Skills
"Develop testing protocols to enable a variety of analyses of optical systems, products, and components.",Thinking Skills
"Diagnose and detect malfunctions in electromechanical components and systems and remove, replace, or repair these components when necessary. Execute preventative equipment maintenance tasks, such as storing the components and machines in clean, dust-free, and non-humid spaces.",Thinking Skills
"Diagnose and detect malfunctions in microelectronic systems, products, and components and remove, replace, or repair these components when necessary. Execute preventative equipment maintenance tasks, such as storing the components in clean, dust-free, and non-humid spaces.",Thinking Skills
"Diagnose and detect malfunctions in optical systems, such as lasers, microscopes, and oscilloscopes. Remove, replace, or repair these systems or system components when necessary. Execute preventative equipment maintenance tasks, such as storing the equipment in clean, dust-free, and non-humid spaces.",Thinking Skills
Disassemble machines following defined procedures and inventory for the suitable handling of parts. Ensure that machines can be reassembled following disassembly.,Technological Skills
Dispose of dangerous materials such as chemical or radioactive substances according to environmental and to health and safety regulations.,Others Skills
"Document and share well results in a transparent way; communicate results to business partners, auditors, collaborating teams and internal management.",Social Skills
"Draft sketches and design electrical systems, products, and components using Computer Aided Design (CAD) software and equipment. Draw panel arrangement layouts, electrical schematics, electrical wiring diagrams, and other assembly details.",Digital Skills
"Draft sketches and design electronic systems, products, and components using Computer Aided Design (CAD) software and equipment. Make a simulation so that an assessment can be made of the viability of the product and so the physical parameters can be examined before the actual building of the product.",Digital Skills
"Draft, update and archive documents concerning the planning and implementation of construction or renovation projects including information about security systems and accounting documentation.",Others Skills
"Draught circuit boards used in electronic product such as cell phones and computers, make sure to include integrated circuits and microchips in the design.",Technological Skills
Draw the details of electrical circuits in order to aid construction workers with the erection and instalment of electrical wiring in building structures.,Technological Skills
Drive railroad vehicles or other railway equipment in a competent and safe manner.,Others Skills
"Edit drawings, schematic diagrams, and drafts according to specifications.",Technological Skills
"Ensure compliance with all railway rules, procedures, and legal regulations relating to safety, operations, and EU frameworks.",Social Skills
Ensure that all legal requirements are met.,Social Skills
Ensure that electronic equipment is set up correctly.,Technological Skills
Ensure that the assembled products are conform to the specifications given.,Others Skills
Ensure that the drawings of the architectural project reflect the reality by visiting the construction sites and implementing adjustments.,Others Skills
"Ensure that the equipment required for operations is regularly checked for faults, that routine maintenance tasks are performed, and that repairs are scheduled and performed in the case of damage or flaws.",Others Skills
Ensure that the materials provided by suppliers comply with the specified requirements.,Others Skills
"Ensure that the processes of packing, storage and shipment of finished products meet the requirements.",Others Skills
"Ensure the necessary, usually constant, pressure of gas which is part of a machine or tool, such as torching equipment, used to process metal workpieces during metal fabrication processes.",Others Skills
"Ensure you are properly informed of the legal regulations that govern a specific activity and adhere to its rules, policies and laws.",Social Skills
"Establish a positive, long-term relationship between organisations and interested third parties such as suppliers, distributors, shareholders and other stakeholders in order to inform them of the organisation and its objectives.",Social Skills
Estimate the budget for interior design plans. Keep track of total costs and material requirements.,Others Skills
Estimate the cost implications of restoring and replacing products or parts.,Others Skills
"Estimate the total cost of building materials required, take into account tendering procedures.",Others Skills
Evaluate scans or images taken with imaging or optical equipment and machinery.,Digital Skills
"Evaluate supplier performance in order to assess which suppliers do or may not perform adequately, stick to the agreed contracts, meet the standard requirements and desired quality at all times or who may pose future risks.",Thinking Skills
"Evaluate the outcome of conservation and restoration procedures. Evaluate the degree of risk, success of treatment or activity and communicate the results.",Thinking Skills
Examine and perform tests on prepared samples; avoid any possibility of accidental or deliberate contamination during the testing phase. Operate sampling equipment in line with design parameters.,Thinking Skills
Examine the precision instruments and assess whether the instrument meets the quality standards and production specifications. Correct and adjust the reliability by measuring output and comparing results with the data of a reference device or a set of standardised results.,Thinking Skills
"Exchange information with the construction crews or supervisors to ensure smooth progress of the construction project. Obtain updates on the progress and any obstacles, and inform the crews of any changes in the schedule or procedures.",Social Skills
Execute maintenance tasks to keep photographic equipment functioning properly.,Others Skills
"Execute types of security testing, such as network penetration testing, wireless testing, code reviews, wireless and/or firewall assessments in accordance with industry-accepted methods and protocols to identify and analyse potential vulnerabilities.",Programming Skills
"Explain technical details to non-technical customers, stakeholders, or any other interested parties in a clear and concise manner.",Thinking Skills
Fasten components together according to blueprints and technical plans in order to create subassemblies or finished products.,Technological Skills
"File and organise professional administration documents comprehensively, keep customer records, fill in forms or log books and prepare documents about company-related matter.",Others Skills
"Fill in the forms and prepare any additional documentation needed to file an application to receive the construction permit required for erecting, renovating, and modifying buildings.",Others Skills
Find faults in wires or cables by using specialised equipment and repair these faults depending on type of wiring.,Technological Skills
Follow up complaints or accident reports in order to take adequate measures to solve problems. Contact the relevant authorities or internal staff to provide solutions in various situations.,Social Skills
Follow written directions in order to perform a task or carry out a step-by-step procedure.,Personal Skills
"Gather and process descriptive data by using documents such as sketches, drawings and notes.",Technological Skills
"Give advice on design, safety issues, and cost reduction to architects during the pre-application phase.",Thinking Skills
Give instructions to subordinates by employing various communication techniques. Adjust communication style to the target audience in order to convey instructions as intended.,Personal Skills
Give technical instructions to assembly workers and control their progress to ensure compliance with quality standards and to check that the goals set in the production plan are met.,Technological Skills
Grind and polish glass or lenses smooth through the application of a range of glass grinding techniques. Glass can be ground using hand tools or glass grinding machinery. Treat the glass with abrasive chemicals during the process.,Technological Skills
"Handle orders placed by customers. Receive the customer order and define a list of requirements, a working process, and a time frame. Execute the work as planned.",Thinking Skills
"Identify malfunctions and repair or replace multi-media, audio-visual and computer systems, hardware and equipment on site.",Technological Skills
"Identify new or second hand musical instruments and estimate the market value of them based on professional judgment and knowledge of musical instruments, or subject them to estimation by a third party.",Thinking Skills
"Identify security threats during investigations, inspections, or patrols, and perform the necessary actions to minimise or neutralise the threat.",Thinking Skills
"Identify the problem of the optical instrument, check for deterioration, and replace deficient components.",Thinking Skills
"Identify, report and repair equipment damage and malfunctions; communicate with field representatives and manufacturers to obtain repair and replacement components.",Technological Skills
Implement and monitor repairs and/or replacements by the supplier in compliance with warranty contracts.,Thinking Skills
"Implement the relevant procedures, strategies and use the proper equipment to promote local or national security activities for the protection of data, people, institutions, and property.",Thinking Skills
"Imprint the electronic circuit design onto the wafers through a process known as photolithography. First, wafers are coated with photosensitive chemicals that harden when exposed to UV light. In sealed dark rooms light is shone through the image of the design through a miniaturising lens and on to the coated wafer. When the chemical is washed off the design remains. The wafers are built up layer by layer, repeating the photo etching process in each new layer. Some layers are cooked, some layers ionised by plasma, and some are baked in metal. Each treatment changes the properties for that layer.",Technological Skills
"Inform customers about necessary repairs or replacements, discuss products, services and costs, include accurate technical information.",Thinking Skills
Inspect and assure the quality of welded metals using diverse testing techniques.,Technological Skills
"Inspect rolling stock, components and systems to ensure compliance with standards and specifications.",Others Skills
"Inspect the quality of assembled printed circuit boards (PCB) or surface-mount devices (SMD) through operating the automated optical inspection machine. During each test, dozens of images are captured with a special camera and compared to previous assembled boards.",Technological Skills
"Inspect the quality of used materials, check the purity and molecular orientation of the semiconductor crystals, and test the wafers for surface defects using electronic testing equipment, microscopes, chemicals, X-rays, and precision measuring instruments.",Technological Skills
"Inspect vessels, vessel components, and equipment; ensure compliance with standards and specifications.",Others Skills
"Install equipment which is dependent on electric currents or electromagnetic fields in order to work, or equipment to generate, transfer or measure such currents and fields. This equipment includes switchboards, electric motors, generators or direct current systems.",Technological Skills
"Install machine-readable instructions, such as computer programs, in order to direct the computer's processor to perform a certain set of actions.",Digital Skills
"Install systems and components that use pneumatics to create mechanical movements such as air brakes, pneumatic cylinders, air compressors and other systems.",Technological Skills
"Install the operating system (OS) or software that manages the software resources and computer hardware on a computer system. The operating system is an essential component of any computer system and mediates between the hardware, the application programs, and the end user. Famous examples of computer operating systems include Microsoft Windows, Linux, and Mac OS.",Technological Skills
"Install, adjust, and test electronic communication equipment, which includes sound, security, navigation, and surveillance systems.",Technological Skills
"Integrate engineering principles in architectural design under the guidance of engineers from different fields. Integrate electrical, civil, etc. engineering in architectural drafting.",Thinking Skills
Join the individual glass lenses together with other lenses using cement.,Others Skills
Keep the highest possible customer service and make sure that the customer service is at all times performed in a professional way. Help customers or participants feel at ease and support special requirements.,Social Skills
Keep the team leader informed on current and emerging issues.,Social Skills
"Keep written records of all repairs and maintenance interventions undertaken, including information on the parts and materials used, etc.",Others Skills
"Keep written records of the amount of stock in storage, incoming and outgoing products required for the proper operation of services, repairs and maintenance tasks.",Others Skills
Lead and guide employees through a process in which they are taught theÃÂ necessary skills for the perspectiveÃÂ job. Organise activities aimed at introducing the work and systems or improving the performance of individuals and groups in organisational settings.,Personal Skills
"Lead, supervise and motivate a group of people, in order to meet the expected results within a given timeline and with the foreseen resources in mind.",Personal Skills
"Liaise via telephone by making and answering calls in a timely, professional and polite manner.",Social Skills
Lift heavy weights and apply ergonomic lifting techniques to avoid damaging the body.,Others Skills
"Load and unload equipment to be repaired or replaced, new or replacement equipment and transport it towards or from customers.",Others Skills
"Load raw semiconductor materials, such as polysilicon, into furnace. The resulting lake of melted silicon is then spun in a crucible and a silicon seed crystal is put into it while spinning in the opposite direction. When the melted polysilicon is allowed to cool, the seed crystal is slowly withdrawn. The result is a single semiconductor crystal with a diameter of approximately 200 millimeters.",Others Skills
Load transistors and other electronic circuit elements onto the finished silicon wafers and slice wafers into individual integrated circuits (IC's) or microchips.,Technological Skills
"Maintain an overview of all the incoming tasks in order to prioritise the tasks, plan their execution, and integrate new tasks as they present themselves.",Thinking Skills
Maintain required company records and forms in order to report any defective materials or questionable conditions of manufacturing machinery and equipment.,Others Skills
"Make a scale model that represents the vision and specifications of the construction project to allow the design team to review details such as colour and materials selection, and to show and discuss the project with the customers.",Thinking Skills
"Make immediate operating decisions as necessary without reference to others, taking into account the circumstances and any relevant procedures and legislation. Determine alone which option is the best for a particular situation.",Thinking Skills
Make maps by formatting compiled data into a virtual image that gives a precise representation of a specific area.,Digital Skills
Make sure that the measurable factors which define the operation of a system correspond to the predetermined norms.,Technological Skills
"Manage and plan various resources, such as human resources, budget, deadline, results, and quality necessary for a specific project, and monitor the project's progress in order to achieve a specific goal within a set time and budget.",Thinking Skills
"Manage personnel, machinery and equipment in order to optimise production results, in accordance with the policies and plans of the company.",Personal Skills
"Manage the organisational, financial and day-to-day operation of a small-to-medium enterprise.",Thinking Skills
"Manipulate the properties, shape and size of glass.",Technological Skills
"Manipulate the properties, shape and size of metal.",Technological Skills
"Manufacture batteries for motor vehicles by using hand tools, power tools or automated machines. Read and understand blueprints and technical plans to comprehend specifications and requirements.",Technological Skills
"Manufacture batteries using hand tools, power tools or automated machines. Understand and read plans and blueprints regarding the technical aspects of batteries to comprehend specifications and requirements.",Technological Skills
Master foreign languages to be able to communicate in one or more foreign languages.,Personal Skills
"Measure voltage, current, resistance or other electrical characteristics by using electrical measuring equipment such as multimeters, voltmeters, and ammeters.",Technological Skills
"Model and simulate an electrical system, product, or component so that an assessment can be made of the viability of the product and so the physical parameters can be examined before the actual building of the product.",Technological Skills
"Model and simulate an electromechanical system, product, or component so that an assessment can be made of the viability of the product and so the physical parameters can be examined before the actual building of the product.",Technological Skills
Model and simulate computer hardware using technical design software. Assess the viability of the product and examine the physical parameters to ensure a successful production process.,Technological Skills
"Model and simulate microelectronic systems, products, and components using technical design software. Assess the viability of the product and examine the physical parameters to ensure a successful production process.",Technological Skills
"Model and simulate optical systems, products, and components using technical design software. Assess the viability of the product and examine the physical parameters to ensure a successful production process.",Technological Skills
Monitor and govern the pyrometer to control the furnace temperature.,Technological Skills
Monitor the product temperature using the available tools and measuring instruments and adjust furnace temperature if needed.,Technological Skills
"Mount the components present in the body of the camera, such as the shutter, mirror, flash bulb, image processor, display screen, battery, pentaprism, viewfinder, and image sensor, as well as the lens of the camera. Lenses are mechanically set into place using threaded retaining rings and the use of adhesive cement on the outer cylindrical edge to hold lenses in place.",Technological Skills
"Observe and identify various kinds of imperfections in metal workpieces or finished products. Recognise the best fitted manner of fixing the problem, which could be caused by corrosion, rust, fractures, leaks, and other signs of wear.",Others Skills
"Observe and listen to machinery operation to detect malfunction. Service, repair, adjust, and test machines, parts, and equipment that operate primarily on the basis of mechanical principles. Maintain and repair vehicles meant for cargo, passengers, farming and landscaping.",Others Skills
Observe machine operations and evaluate product quality thereby ensuring conformity to standards.,Thinking Skills
"Observe principles in keeping an engineering watch. Take over, accept and hand over a watch. Perform routine duties undertaken during a watch. Maintain the machinery space logs and the significance of the readings taken. Observe safety and emergency procedures. Observe safety precautions during a watch and take immediate actions in the event of fire or accident, with particular reference to oil systems.",Others Skills
"Operate a semi-automated, semi-manual drill press to drill holes in a work piece, safely and according to regulations.",Technological Skills
"Operate and adjust measuring instruments such as theodolites and prisms, and other electronic distance-measuring tools.",Technological Skills
"Operate and maintain grade crossing warning systems, signals and railroad signal equipment such as hot box detectors and interlocks.",Technological Skills
"Operate and use soldering tools and soldering iron, which supply high temperatures to melt the solder and to join electronic components.",Technological Skills
Operate cutting and measuring instruments in order to cut/shape pieces of metal into given dimensions.,Technological Skills
"Operate devices, machinery, and equipment designed for scientific measurement. Scientific equipment consists of specialised measuring instruments refined to facilitate the acquisition of data.",Technological Skills
"Operate equipment used for battery testing, such as a soldering iron, a battery tester, or a multimeter. Detect flaws affecting the battery's performance, test the battery's capacity for accumulating charge, or test its voltage output.",Technological Skills
"Operate machinery for various types of printed documents, adjusting the font, paper size, and weight. This allows ascenders and descenders to be correctly placed.",Technological Skills
Operate machinery used for the making of small systems or components with a high level of precision.,Technological Skills
Operate measurement instruments to measure parts of manufactured objects. Take into consideration specifications of manufacturers to perform the measuring.,Technological Skills
"Operate optical measuring equipment to take client's measurements; determine bridge and eye size, papillary distance, vertex distance, optical eye centres, etc., in order to manufacture customised eyeglasses or contact lenses.",Technological Skills
Operate power driven pumps. Use hand tools or power tools. Use vehicle repair tools or safety equipment.,Others Skills
Operate railway communication systems; make announcements over the public address system or communicate with central train administration.,Technological Skills
"Operate robotic machines to clean, buff, and polish the wafers using a process called lapping. The result is wafers of silicon with a surface roughness of less than one millionth of a millimeter.",Technological Skills
Operate surface-mount technology (SMT) machines and equipment to place and solder surface-mount devices (SMD) onto the printed circuit board with high precision.,Technological Skills
Operate the insertion mount machine or inserter to insert the leads of electronic components into holes in the printed circuit boards.,Technological Skills
"Operate the wave soldering machine to solder electronic components onto the printed circuit board. Here, the board is moved over a wave of liquid solder and the connections inserted through the board are bonded firmly to the circuit board.",Technological Skills
"Operate various types of railway control panels such as Individual Function Switch (IFS), One Control Switch (OCS) or Entrance Exit (NX).",Technological Skills
Operate wire saw machines to slice the silicon crystals into ultra thin wafers of approximately 2/3 millimeters thick.,Technological Skills
"Order optical equipment and materials, paying attention to the price, quality, and suitability of the supplies.",Others Skills
"Order the required materials for assembling electronic equipment, paying attention to the price, quality, and suitability of the materials.",Others Skills
Organise tasks according to their priority.,Others Skills
Organise the process of writing and designing proposals or bids for tenders.,Others Skills
"Outline and design airports, public transport systems and highways in order to assess how to move people and goods in a safe and efficient manner.",Thinking Skills
Oversee distribution channels with regards to the requirements of customers.,Thinking Skills
Oversee production processes and prepare all the resources needed to maintain an efficient and continuous flow of production.,Thinking Skills
"Pass on knowledge and skills, explain and demonstrate the application of equipment and materials and answer questions about trade techniques for the manufacturing of products.",Thinking Skills
Perform cleaning routines after equipment use.,Others Skills
"Perform duties which require particular technical skills such as testing new measuring instruments, developing a program for numerically controlled machines or realising delicate manual work.",Technological Skills
Perform examinations and tests on all kinds of metals in order to ensure high quality and chemical resistance.,Others Skills
Perform non-destructive testing on civil structures such as bridges and pipelines in order to find abnormalities or damage.,Others Skills
"Perform regular maintenance, possibly including corrections and alterations, on a machine or machine tool to ensure it remains in a proper productive state.",Others Skills
"Perform routine maintenance tasks on audiovisual equipment as well as minor repairs, such as replacing parts and calibrating the instruments, on equipment used in processing sound and images.",Others Skills
Place electrical circuits and wiring in vehicles such as lighting and voltage gauges. These distribute and regulate electrical power and supply it to meters and other devices in the car.,Technological Skills
"Place electrically operated accessories in vehicles such as batteries which power heating systems, radios and anti-theft systems.",Technological Skills
"Plan, coordinate and supervise engineering activities together with engineers and engineering technicians. Ensure clear and effective channels of communication across all departments. Make sure the team is aware of the standards and objectives of the research and development.",Personal Skills
"Plan, deploy, troubleshoot and test low voltage wiring.",Technological Skills
"Prepare and apply coating, such as conformal coating, to electrical equipment and its components to protect the equipment against moisture, high temperature, and dust.",Others Skills
"Prepare documentation for existing and upcoming products or services, describing their functionality and composition in such a way that it is understandable for a wide audience without technical background and compliant with defined requirements and standards. Keep documentation up to date.",Others Skills
Prepare early models or prototypes in order to test concepts and replicability possibilities. Create prototypes to assess for pre-production tests.,Others Skills
"Prepare metal or other material workpieces for joining processes by cleaning the workpieces, checking their measurements with the technical plan and marking on the pieces where they'll be joined.",Others Skills
Prepare product for shipment as scheduled.,Others Skills
"Prepare technical reports that describe results and processes of scientific or technical research, or assess its progress. These reports help researchers to keep up to date with recent findings.",Thinking Skills
